Time for Cap.1 (min);Scattering for Cap.1 ;Time for Cap.1 (min);Cumulant Radius for Cap.1 (nm);Time for Cap.2 (min);Scattering for Cap.2 ;Time for Cap.2 (min);Cumulant Radius for Cap.2 (nm);Time for Cap.3 (min);Scattering for Cap.3 ;Time for Cap.3 (min);Cumulant Radius for Cap.3 (nm);Time for Cap.4 (min);Scattering for Cap.4 ;Time for Cap.4 (min);Cumulant Radius for Cap.4 (nm);Time for Cap.5 (min);Scattering for Cap.5 ;Time for Cap.5 (min);Cumulant Radius for Cap.5 (nm);Time for Cap.6 (min);Scattering for Cap.6 ;Time for Cap.6 (min);Cumulant Radius for Cap.6 (nm);Time for Cap.7 (min);Scattering for Cap.7 ;Time for Cap.7 (min);Cumulant Radius for Cap.7 (nm)
771.0687;1237768;771.0687;4.12087;771.1521;732569.3;771.1521;3.871088;770.9688;326888.9;770.9688;2.517577;771.2521;2577592;781.2354;3021.735;770.8854;7.317148E+08;770.8854;37.52225;771.3354;4.809282E+08;771.3354;58.16013;770.7854;7.58725E+07;770.7854;83.37668
781.0521;1184565;781.0521;3.886492;781.1354;715241.9;781.1354;3.861533;780.9521;334409.8;780.9521;1.678557;781.2354;2869578;791.2354;10970.11;780.8688;7.447377E+08;780.8688;38.15569;781.3187;4.815291E+08;781.3187;57.98007;780.7687;8.167362E+07;780.7687;83.52483
791.0521;1755305;791.0521;6.049526;791.1354;708807.9;791.1354;3.73721;790.9521;405420.5;790.9521;4.604423;791.2354;2361546;801.2354;2630.157;790.8688;7.470938E+08;790.8688;37.93983;791.3354;4.718446E+08;791.3354;57.33113;790.7687;7.789423E+07;790.7687;84.00226
801.0521;1170085;801.0521;3.789688;801.1521;718200.6;801.1521;4.041344;800.9521;402063.9;800.9521;1.771796;801.2354;1981063;811.2354;2316.61;800.8688;7.416697E+08;800.8688;38.34777;801.3354;4.631229E+08;801.3354;57.84012;800.7687;7.715369E+07;800.7687;90.1687
811.0521;1209761;811.0521;4.169102;811.1521;1537346;811.1521;48.87046;810.9521;1101966;810.9521;26950.11;811.2354;2463780;821.2354;1655.857;810.8688;7.59259E+08;810.8688;38.49051;811.3354;5.067743E+08;811.3354;58.9591;810.7687;9.574117E+07;810.7687;93.59212
821.0521;1284763;821.0521;4.522919;821.1521;768525.5;821.1521;4.506713;820.9688;417690.6;820.9688;2.626101;821.2354;1947658;831.2354;2175.224;820.8688;7.352521E+08;820.8688;37.92143;821.3354;5.061835E+08;821.3354;58.03345;820.7854;8.164886E+07;820.7854;88.06296
831.0521;1217961;831.0521;4.118621;831.1521;772247.3;831.1521;4.291707;830.9688;401316.6;830.9688;4.6924;831.2354;2765049;841.2354;1789.135;830.8688;7.582604E+08;830.8688;38.00778;831.3354;4.83351E+08;831.3354;58.50163;830.7854;8.06196E+07;830.7854;88.40128
841.0521;1165128;841.0521;3.799313;841.1521;727135.1;841.1521;3.632624;840.9688;417701.7;840.9688;3.838447;841.2354;1868344;851.2354;1991.82;840.8688;7.575441E+08;840.8688;38.20885;841.3354;4.962795E+08;841.3354;58.72163;840.7854;9.230835E+07;840.7854;95.32648
851.0521;1490286;851.0521;5.198659;851.1521;845339.4;851.1521;4.767797;850.9688;336158.7;850.9688;3.158761;851.2354;2573539;861.2521;1778.67;850.8688;7.539489E+08;850.8688;38.08305;851.3354;4.880117E+08;851.3354;58.82597;850.7854;8.444306E+07;850.7854;92.70907
861.0521;1286632;861.0521;4.400633;861.1521;685216.9;861.1521;3.627545;860.9688;367447.2;860.9688;2.681573;861.2521;2217709;871.2521;1914.297;860.8688;7.54551E+08;860.8688;38.16343;861.3354;4.434205E+08;861.3354;56.62305;860.7854;8.197542E+07;860.7854;91.78882
871.0521;1223226;871.0521;4.095075;871.1521;752408.9;871.1521;4.01378;870.9688;348530.1;870.9688;4.101033;871.2521;1921099;881.2521;1065.566;870.8688;7.511034E+08;870.8688;37.8189;871.3354;4.895244E+08;871.3354;59.4498;870.7854;7.220741E+07;870.7854;87.57629
881.0687;1487429;881.0687;5.698842;881.1521;745053.6;881.1521;4.165393;880.9688;436792.1;880.9688;4.643489;881.2521;1708938;891.2354;1617.719;880.8854;7.70329E+08;880.8854;38.34027;881.3354;4.916939E+08;881.3354;57.9911;880.7854;8.010976E+07;880.7854;89.99572
891.0521;1169716;891.0521;4.020614;891.1354;865313.4;891.1354;5.028971;890.9521;397889.7;890.9521;2.525472;891.2354;1643049;901.2354;1917.909;890.8688;7.430923E+08;890.8688;37.89272;891.3187;5.033106E+08;891.3187;60.43552;890.7687;1.01595E+08;890.7687;99.16119
901.0521;1148165;901.0521;3.821411;901.1354;754717.2;901.1354;4.077786;900.9521;349812.6;900.9521;2.426347;901.2354;1072818;911.2354;1549.673;900.8688;7.325313E+08;900.8688;37.50119;901.3187;4.98154E+08;901.3187;58.7768;900.7687;7.618092E+07;900.7687;86.17831
911.0521;1126204;911.0521;3.734374;911.1521;684208.3;911.1521;3.439124;910.9521;449402.6;910.9521;3.855832;911.2354;1052701;921.2354;1783.944;910.8688;7.538505E+08;910.8688;38.40135;911.3354;5.224075E+08;911.3354;61.88803;910.7687;6.135346E+07;910.7687;71.96643
921.0521;1238710;921.0521;4.173186;921.1521;694778.9;921.1521;3.637972;920.9688;428108.5;920.9688;2.704054;921.2354;1127168;931.2354;1802.498;920.8688;7.517383E+08;920.8688;38.44511;921.3354;4.878965E+08;921.3354;59.22361;920.7854;7.801266E+07;920.7854;85.64849
931.0521;1233921;931.0521;4.248948;931.1521;869563.1;931.1521;5.125325;930.9688;363783.3;930.9688;2.933893;931.2354;1324432;941.2354;1918.999;930.8688;7.56667E+08;930.8688;38.79623;931.3354;4.770365E+08;931.3354;57.3594;930.7854;8.590846E+07;930.7854;94.35481
941.0521;1258957;941.0521;4.322076;941.1521;959412.3;941.1521;5.741082;940.9688;419665;940.9688;3.964262;941.2354;915861.3;951.2521;1872.63;940.8688;7.530518E+08;940.8688;37.66507;941.3354;5.178456E+08;941.3354;61.5491;940.7854;7.629346E+07;940.7854;80.74437
951.0521;1189002;951.0521;4.018194;951.1521;802829.1;951.1521;4.183861;950.9688;375590.8;950.9688;3.299562;951.2521;1019173;961.2521;2167.413;950.8688;7.630333E+08;950.8688;38.46939;951.3354;4.909199E+08;951.3354;60.44404;950.7854;1.053046E+08;950.7854;99.35085
961.0521;2156221;961.0521;318.0181;961.1521;815928.9;961.1521;4.245607;960.9688;499619.3;960.9688;3.875796;961.2521;1178658;971.2521;1760.671;960.8688;7.304447E+08;960.8688;37.76189;961.3354;5.09574E+08;961.3354;60.74275;960.7854;7.466948E+07;960.7854;81.87827
971.0521;1285242;971.0521;4.68407;971.1521;2367477;971.1521;492.2895;970.9688;407161.2;970.9688;2.466348;971.2521;972855;981.2521;1936.279;970.8688;7.39743E+08;970.8688;37.99782;971.3354;4.88634E+08;971.3354;59.80073;970.7854;8.2963E+07;970.7854;84.14965
981.0687;1262010;981.0687;4.366549;981.1521;816907.8;981.1521;4.708227;980.9688;404618.1;980.9688;4.130946;981.2521;1064577;991.2354;1912.396;980.8854;7.569583E+08;980.8854;37.5084;981.3354;5.337055E+08;981.3354;61.91366;980.7854;8.765305E+07;980.7854;96.93565
991.0521;1167336;991.0521;3.896397;991.1354;932532.1;991.1354;21.93186;990.9521;378898.9;990.9521;3.276671;991.2354;790859.1;1001.235;1872.99;990.8688;7.497421E+08;990.8688;38.27316;991.3187;5.653856E+08;991.3187;63.09003;990.7687;7.842832E+07;990.7687;84.14034
1001.052;1205176;1001.052;4.019847;1001.135;741652.3;1001.135;3.823008;1000.952;390157;1000.952;2.804323;1001.235;867993;1011.235;2002.476;1000.869;7.514716E+08;1000.869;38.06541;1001.319;5.114893E+08;1001.319;61.15421;1000.769;8.762614E+07;1000.769;89.39786
1011.052;1230339;1011.052;4.159204;1011.152;759705.5;1011.152;4.064443;1010.952;407879.3;1010.952;4.162504;1011.235;937924.4;1021.235;1679.903;1010.869;7.454516E+08;1010.869;37.76797;1011.335;5.173465E+08;1011.335;60.71232;1010.769;9.561983E+07;1010.769;93.70544
1021.052;1321115;1021.052;4.66877;1021.152;715943.3;1021.152;3.480349;1020.969;366251.2;1020.969;2.284981;1021.235;1063891;0;0;1020.869;7.494223E+08;1020.869;37.5759;1021.335;5.077547E+08;1021.335;61.43448;1020.769;8.499631E+07;1020.769;90.38328
